date,temperature_max,temperature_avg,temperature_min,wind_speed_max,wind_speed_avg,wind_speed_min
12/24/1987,53,47,43,30,13.6,7
12/29/1987,54,40.6,0,32,12.6,0
1/17/1988,58,33.3,0,30,17.2,7
2/22/1988,63,29.6,0,31,7,0
4/30/1988,68,61.8,56,38,16,5
5/1/1988,67,60.8,54,29,20.2,9
5/5/1988,61,52.2,0,30,17.3,5
5/29/1988,65,53.9,0,36,22.2,9
11/14/1988,62,47.4,0,30,19.7,7
2/4/1989,55,34.6,0,28,17.8,8
3/3/1989,61,47.8,0,28,15.7,5
10/25/1989,67,58.8,0,31,17.7,9
1/2/1990,61,51.6,0,32,10.9,5
3/5/1990,59,50.3,0,28,16.9,6
3/11/1990,57,50.9,0,32,21.8,7
3/12/1990,56,44.9,0,28,10.6,0
6/27/1990,89,76.9,65,30,15.2,7
11/26/1990,62,55.1,0,32,13.7,7
12/19/1990,60,51.7,0,32,18.6,0
12/20/1990,55,50,45,28,17.4,5
12/21/1990,50,44,38,28,12.7,0
10/26/1991,66,38.8,0,29,12.7,3
11/28/1991,68,59.5,55,30,16.6,7
11/29/1991,62,54.3,46,29,12.7,5
12/19/1991,62,57.3,53,28,16.8,9
1/5/1992,59,35.1,0,30,10.2,0
2/24/1993,58,52.4,0,29,15.4,5
3/26/1993,60,44.4,0,29,14.4,6
12/11/1993,59,38.7,0,33,12.1,3
3/22/1994,64,54.1,0,31,13.2,5
4/24/1994,63,56.9,51,32,17.8,6
1/4/1995,58,31.8,0,28,14.1,3
1/5/1995,64,53.4,0,29,20.2,3
4/13/1995,65,46.9,0,28,11.1,0
2/22/1996,59,54.7,50,30,16.6,6
3/23/1996,69,56.9,0,29,16.4,7
10/25/1996,69,62.4,56,35,14.7,5
11/29/1996,64,58.1,55,30,16.1,10
2/25/1997,64,57.7,53,31,16,5
4/1/1997,67,59.7,53,28,12.8,3
4/9/1997,65,59.3,52,29,13.2,3
4/24/1997,76,66.8,61,33,19.5,12
11/26/1997,64,58.8,53,32,15.7,0
12/6/1997,61,56.6,54,39,12.8,5
12/8/1997,61,56.4,51,28,14.8,6
2/3/1998,60,54.4,52,30,15.5,3
2/14/1998,61,56.2,54,31,14.5,3
2/24/1998,59,53.1,47,29,12.2,5
3/6/1998,59,53.4,48,28,12.9,5
3/28/1998,56,52.1,49,31,21.2,10
4/6/1998,62,55.6,48,30,15.2,0
4/15/1998,59,54.3,48,31,13.8,3
12/6/1998,56,49.7,45,29,12.6,5
12/20/1998,56,50.9,46,29,13.1,5
2/21/1999,67,58.5,52,28,12,0
3/31/1999,60,55.6,51,33,15.3,0
4/3/1999,61,53.9,49,38,14.2,5
4/8/1999,60,54.5,50,28,13.4,3
4/9/1999,57,52.6,46,31,17.5,5
4/28/1999,64,57.5,51,32,12.8,0
3/5/2000,56,50.9,48,30,15.2,5
4/1/2000,76,70.4,59,32,13.1,0
5/11/2000,70,62.7,57,29,15.7,3
3/9/2001,58,55.3,52,28,14.2,0
4/7/2001,58,53.2,50,28,15.5,3
4/21/2001,60,54.2,50,29,18.5,7
11/12/2001,68,60.1,56,32,10.1,0
12/9/2001,61,55.6,50,33,13.3,0
3/7/2002,63,57.7,54,29,13.5,0
3/16/2002,58,52.6,47,31,13.3,0
4/19/2002,66,58.6,51,28,12.5,3
2/19/2003,61,55.7,50,30,9.4,0
3/18/2003,66,61.5,58,29,18.1,7
3/27/2003,78,68.9,61,30,18.1,6
4/2/2003,61,56.5,52,28,16.8,6
4/22/2003,61,54.8,49,28,16,5
5/9/2003,64,57.5,53,30,13.8,0
12/25/2003,60,56.4,50,37,12.8,0
2/27/2004,59,54.5,49,30,12.3,0
4/23/2004,87,70.2,55,31,13,3
9/19/2004,73,67.6,63,28,11.9,0
1/11/2005,60,55,52,31,20.6,6
3/22/2005,63,57.7,55,30,11.3,0
3/28/2005,63,57.8,54,32,12.3,3
4/8/2005,62,56.9,53,33,16.5,0
11/26/2005,66,60.9,56,28,11.3,3
3/7/2006,61,56.2,53,30,13.7,3
4/5/2006,60,55.8,52,30,18.5,3
12/10/2006,61,56,52,29,9.5,0
12/27/2006,61,56.3,54,38,11.5,0
12/28/2006,68,58.8,50,29,10.3,0
1/5/2007,64,55.4,47,31,15.3,5
3/27/2007,63,56.6,53,35,17.5,6
4/15/2007,63,56.6,52,28,10.7,0
4/18/2007,67,59.1,53,31,13.9,0
10/5/2007,66,62.8,60,35,15.8,6
12/7/2007,59,56.4,53,30,17.5,0
2/3/2008,57,52.3,48,30,12.3,0
2/20/2008,58,55.2,52,29,9.1,0
3/15/2008,61,56.3,52,35,13.8,0
3/16/2008,64,57.6,51,31,13.5,5
3/17/2008,69,60.6,54,28,13.2,3
10/11/2008,66,61.8,57,30,14.2,6
11/9/2008,63,61.2,57,35,17.6,3
12/13/2008,60,55.1,50,30,10.4,0
2/9/2009,54,51.1,48,31,15.2,0
3/22/2009,59,55.9,54,39,19.5,8
4/14/2009,64,58.2,54,29,9.6,0
4/15/2009,59,53.6,48,36,17.1,5
10/4/2009,65,60.8,56,31,13.6,3
10/28/2009,67,60.2,54,28,12.7,6
12/7/2009,54,50.6,46,28,9.6,0
1/21/2010,57,53.7,51,29,14.8,3
2/21/2010,62,57.7,55,28,14.7,3
4/5/2010,61,57.2,52,28,15,0
4/20/2010,64,58.2,54,31,12.6,0
4/21/2010,61,54.3,51,33,20.1,3
4/28/2010,63,58.6,55,31,14,3
4/29/2010,65,59,53,32,15,7
4/30/2010,68,61.6,56,33,14,0
5/9/2010,64,59.4,55,28,11,0
5/11/2010,64,58.6,54,32,12.9,3
5/23/2010,63,57.3,54,31,15.3,5
9/24/2010,76,70.1,62,80,94.7,0
12/29/2010,58,54.4,51,29,9.3,0
3/7/2011,64,58.6,54,31,16.9,3
3/20/2011,57,54.5,52,28,15.3,5
4/7/2011,61,58.2,53,29,16,0
5/18/2011,64,58,54,30,13.5,0
5/29/2011,65,59.1,55,30,17.2,6
1/21/2012,61,55.5,0,31,12.2,0
2/13/2012,58,54.9,51,31,9.7,0
2/27/2012,56,53.5,49,28,14,3
3/18/2012,55,49.9,46,38,18.3,3
4/1/2012,67,58.4,51,29,14.1,5
4/13/2012,58,54.9,52,33,15.5,5
5/25/2012,65,62.4,58,29,13.1,5
11/9/2012,64,59.4,55,31,18.8,6
11/10/2012,62,56.8,50,28,11.1,0
12/18/2012,61,56.6,50,28,12.2,0
1/10/2013,58,53.2,48,29,11.8,0
2/8/2013,53,50.4,44,30,13.6,0
2/19/2013,57,52.9,46,33,13.3,3
4/8/2013,64,60.6,57,33,17.4,0
4/9/2013,70,63.5,55,31,14,0
4/16/2013,65,58.4,51,29,13.9,0
4/17/2013,69,62.1,56,32,13.8,0
5/14/2013,70,64.1,59,29,10.5,5
9/26/2013,72,67.6,63,28,10.5,0
3/26/2014,65,60.1,57,28,19.2,6
3/30/2014,67,61.1,57,28,16,0
4/2/2014,61,55.9,51,29,13.1,0
4/26/2014,65,58.9,54,30,20.3,0
5/6/2014,66,60.6,56,33,15,0
12/12/2014,62,57.6,54,30,12.9,0
4/25/2015,63,59,57,28,13,0
11/9/2015,67,61.3,55,28,12.6,0
11/10/2015,66,60.2,54,29,11.4,0
11/16/2015,64,57.5,52,28,16.9,8
12/11/2015,64,59.8,56,36,16.7,3
12/22/2015,64,59.5,54,29,8.9,0
1/31/2016,59,55.7,52,41,16.8,0
3/6/2016,64,59.5,55,33,18.2,6
3/7/2016,59,54.6,50,36,16.5,0
3/11/2016,64,57.7,52,29,11.3,0
3/28/2016,62,58.7,56,35,13.4,3
4/15/2016,79,68,60,32,15,0
4/22/2016,68,63,57,30,11.4,0
4/25/2016,64,60,54,40,15.3,0
4/27/2016,67,60.7,55,28,12,0
11/27/2016,63,56.5,50,30,10.1,0
12/16/2016,63,58.7,53,32,18.4,3
12/24/2016,57,53.4,49,31,15.3,3
1/20/2017,59,54.1,52,32,15.9,3
2/17/2017,59,56.5,53,30,16.2,8
3/30/2017,67,62.3,56,30,9.5,0
4/8/2017,64,59.7,56,30,12.1,3
4/28/2017,82,72.3,66,28,18.1,12
5/6/2017,63,59.7,54,31,14.4,5
12/20/2017,59,54,48,28,8.7,3
1/9/2018,61,57.4,53,30,11.9,0
2/19/2018,58,53.1,49,33,14.7,7
3/26/2018,68,60,52,31,10.3,0
4/16/2018,63,57.8,54,31,19.3,7
11/29/2018,66,59.9,55,31,14.3,5
1/21/2019,62,57.7,54,32,16.7,5
2/5/2019,56,51.6,48,28,13.8,0
2/16/2019,59,53.8,48,30,13.3,3
2/17/2019,56,52,48,36,15.7,0
3/8/2019,58,54.9,51,29,15.9,0
3/12/2019,67,60.2,55,29,13.1,0
3/13/2019,67,59.2,54,29,12.2,5
5/16/2019,68,61.2,58,32,15.7,3
5/21/2019,65,60.2,55,29,9.7,0
11/20/2019,62,57.6,53,31,13,3
2/3/2020,63,55.7,50,29,15.3,3
3/18/2020,63,55.8,49,29,10.3,0
3/26/2020,62,56.1,49,29,13.9,3
4/7/2020,66,57.2,53,28,9.5,0
1/25/2021,54,49.8,46,37,15.4,0
3/9/2021,61,54.5,48,29,12.3,0
3/15/2021,56,52,49,37,14.1,0
3/23/2021,63,56.9,51,28,10.9,0
3/24/2021,69,62.2,55,30,13.9,0
12/14/2021,61,55.1,46,40,17.1,0
2/15/2022,61,57.1,54,30,11.9,0
3/5/2022,60,54.4,51,36,17,0
3/20/2022,71,61.5,55,30,16.2,6
4/12/2022,67,59.7,53,28,18.3,7
4/22/2022,64,58.5,55,30,16.8,5
5/10/2022,66,58.8,52,28,10.8,0
5/11/2022,65,59,51,30,14.8,0
