Date,Temperature Max,Temperature Avg,Temperature Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Total Precipitation Inches
4/1/1963,60,54.4,49,48,37.9,0,83,58.5,31,30,15.9,5,29.9,29.8,29.7,0
5/11/1963,67,60,52,51,48,42,83,65.8,40,28,10.7,0,30,29.9,29.8,0
11/21/1963,62,55.7,52,50,32.8,0,86,46.9,30,28,15.5,2,30,29.7,29.6,0
12/9/1963,62,56,51,50,45.3,35,86,68.3,47,31,12.1,2,29.7,29.6,29.6,0
1/7/1964,65,57.8,49,48,37.4,30,75,47.6,35,28,9.7,3,29.8,29.8,29.7,0
3/6/1964,60,53.3,46,47,38.3,25,86,59.1,33,30,14.5,0,29.9,29.8,29.7,0
3/16/1964,79,70.6,62,37,9.1,3,39,10.6,5,40,20.3,3,30,29.9,29.9,0
2/18/1965,79,60.6,46,47,38.2,29,83,47.5,17,51,9.3,3,30.1,30,30,0
4/10/1965,59,52.9,47,40,37.4,34,63,55.8,49,29,19.5,8,29.8,29.8,29.7,0
5/21/1965,65,60.5,56,53,50,45,84,69,52,30,13.8,5,29.9,29.8,29.8,0
10/16/1965,69,64.2,59,51,36.6,0,63,41.2,26,28,15.5,3,29.8,29.8,29.7,0
12/22/1965,58,51.3,46,46,34.7,22,80,55.3,33,28,13.1,3,29.7,29.6,29.5,0
12/29/1965,60,56.2,52,59,53.5,45,100,90.8,74,29,19.8,16,29.8,29.7,29.6,0
3/1/1966,58,52.4,49,48,43.3,35,86,71.7,59,28,14,5,29.8,29.7,29.7,0
3/2/1966,54,48.8,44,40,29.1,0,82,55.5,40,28,19,6,30,29.8,29.7,0
6/8/1967,67,61.8,59,55,54.3,52,87,76.6,63,31,10.5,3,29.8,29.8,29.8,0
10/15/1968,77,66.6,59,58,44.9,34,93,47.7,25,28,12.6,3,29.9,29.8,29.8,0
12/26/1969,62,57,53,51,24.5,0,81,38.3,30,30,18.6,6,29.9,29.9,29.8,0
12/29/1969,60,53.4,45,43,15.3,-6,66,27.7,8,30,11.1,3,30,29.9,29.8,0
3/10/1970,61,56.9,53,51,46.3,31,90,68.8,40,30,12,2,29.8,29.7,29.6,0
4/13/1970,62,58.9,53,56,46.8,36,86,65.3,50,33,17.3,6,29.8,29.7,29.7,0
4/21/1970,60,54.8,49,45,40.4,34,74,58.6,49,36,19.8,5,29.9,29.7,29.6,0
4/27/1970,60,55.6,53,47,42.1,36,74,61,47,32,21.6,9,29.8,29.8,29.7,0
2/19/1971,56,52.7,48,53,42.4,21,93,72,29,28,10.8,2,30.1,29.9,29.7,0
2/25/1971,65,55.4,48,51,36.8,15,90,57.8,20,29,12.9,5,29.9,29.9,29.8,0
2/27/1971,60,52,43,43,25.7,13,69,38.8,20,30,13.2,5,30.1,30,29.9,0
4/17/1971,59,55.7,51,52,46,41,89,70.8,53,32,17.9,5,29.8,29.7,29.6,0
4/21/1971,61,55.5,49,45,40,29,86,58.6,36,30,13.9,2,29.8,29.7,29.7,0
5/18/1972,68,61,58,55,52.3,49,87,73.5,60,51,10.5,3,29.7,29.7,29.6,0
11/11/1972,61,57.7,53,55,47.6,38,93,70.7,51,32,17.3,5,29.7,29.6,29.5,0
12/4/1972,58,55.7,51,57,46.2,0,100,75.9,48,29,15.4,3,29.8,29.7,29.6,0
2/11/1973,60,47.5,0,56,43.4,0,93,69.5,0,28,18.9,9,29.7,29.5,29.4,0
3/20/1973,57,39.4,0,52,32.7,0,93,52.3,0,30,18.4,5,29.8,29.7,29.6,0
4/1/1973,65,54,0,52,33.7,0,93,45.1,0,28,13.7,3,30,30,29.9,0
11/26/1973,66,50.7,0,40,33.6,0,71,47.5,0,47,8.5,3,29.9,29.7,29.6,0
1/1/1974,55,50.1,0,53,37.9,0,93,61,0,28,15.6,5,29.8,28.5,0,0
4/9/1974,60,54,0,52,45.1,0,89,69.1,0,32,18.6,5,29.9,29.9,29.9,0
10/28/1974,67,49.3,0,62,44,0,100,64.1,0,35,15.6,3,29.8,29.6,29.5,0
3/22/1975,60,46.5,0,55,39.7,0,100,62.8,0,31,15.7,0,29.9,28.8,0,0
