"guid","Size","Containment","DateTime","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"7beb45b4-707f-43a3-b963-0430fff85c65","1,262","0%","2025-01-07T16:28","","","","","",""
"0c00d094-84c8-41dc-a873-a3a84f2cf6be","1,262","0%","2025-01-07T16:37","","","","","",""
"08b2802d-4220-492c-8639-84aaddd57d57","1,262","0%","2025-01-07T16:56","","","","","",""
"e3f71846-157f-4236-84bf-561e492d982b","1,262","0%","2025-01-07T17:15","","","","","",""
"32e4c07f-7293-446e-be59-5e951cc1693d","1,262","0%","2025-01-07T17:48","","","","","",""
"e95f0e9a-946c-4b9b-9f98-5c1686025f74","1,262","0%","2025-01-07T17:59","","","","","",""
"ce38a22f-2142-46ff-9857-06945ac3ad5c","1,262","0%","2025-01-07T18:25","","","","","",""
"99aa37ff-b963-4243-b69b-bfcd56e15866","1,262","0%","2025-01-07T20:19","","","","","",""
"72c54098-4ba9-4773-a8c2-0fab288a80e1","1,262","0%","2025-01-07T20:26","","","","","",""
"85b5aaa4-68d2-4203-b1ec-1e38ef03b4e3","1,262","0%","2025-01-07T20:35","","","","","",""
"bc8554dd-7a6a-4895-9113-ca2dcaae9b5f","1,262","0%","2025-01-07T20:57","","","","","",""
"763d3907-8a9d-41b5-b636-2f7a9743fb0b","1,262","0%","2025-01-07T21:23","","","","","",""
"27f886d7-d291-4d4f-8354-41ff1af68a0a","1,262","0%","2025-01-07T21:57","","","","","",""
"edda6a19-bb87-4248-969f-83b8faf7f4c1","1,262","0%","2025-01-07T22:20","","","","","",""
"32251c3b-8f86-4885-ba17-eb043f1a3b01","2,921","0%","2025-01-08T00:29","","","","","",""
"a776384b-8da3-47c8-b870-37471e97fc9d","2,921","0%","2025-01-08T00:40","","","","","",""
"ad9cf40f-79d4-4c7d-9153-800b20d093cd","2,921","0%","2025-01-08T05:16","","","","","",""
"608f6503-3b2a-4035-b9ea-b33ef4d1e8a3","2,921","0%","2025-01-08T08:19","","","","","",""
"6d3ad89e-e226-411e-9ef3-ee9e964f312d","2,921","0%","2025-01-08T08:24","","","","","",""
"6d6dcb24-bdd7-4a16-ae25-39d6d4834ee7","2,921","0%","2025-01-08T08:54","","","","","",""
"10d9b552-464e-41f7-af90-4be75dfec3d1","2,921","0%","2025-01-08T09:43","","","","","",""
"a4cd7bc9-6231-4540-a913-ddb8eb394ba8","2,921","0%","2025-01-08T11:11","","","","","",""
"6508d8bf-8842-4f55-9219-92857af743b1","11,802","0%","2025-01-08T11:45","","","","","",""
"e036276d-0216-48db-ac57-2f9a212b7ad3","15,832","0%","2025-01-08T13:20","13,306","300","","","",""
"90c83ec8-f0db-4675-9078-47476f3800d0","15,832","0%","2025-01-08T13:23","13,306","300","","","",""
"2c4564f8-6b0d-4c0d-bd4e-88fcdda9e6fd","15,832","0%","2025-01-08T14:54","13,306","300","","","",""
"2e239e3e-84b1-4848-b433-4cd424331d82","15,832","0%","2025-01-08T15:04","13,306","300","","","",""
"6891f1de-8ac6-47e1-bbdc-203bd71b4506","15,832","0%","2025-01-08T17:07","13,306","300","","","",""
"0541eb43-d6c5-47dc-929a-a7f61ee8cb77","15,832","0%","2025-01-08T21:19","13,306","300","","","",""
"5cf2f45e-0be0-4402-8ef6-af787fee0a5c","15,832","0%","2025-01-08T21:23","13,306","300","","","",""
"fb42ddab-8486-4dc5-be48-c6f1144a1647","17,234","0%","2025-01-08T23:10","13,306","300","","","",""
"f71ac2cc-5e0b-4c27-937c-370d7d195aa7","17,234","0%","2025-01-09T04:38","13,306","300","","","",""
"a41c83ae-6c49-4676-b872-29537bb59d4e","17,234","0%","2025-01-09T04:39","13,306","300","","","",""
"da7ed5a9-2a18-4627-a3a9-a8bd9dfaaddc","17,234","0%","2025-01-09T08:11","13,306","300","","","",""
"167c614e-0fec-466b-8c9b-47296d9c1ee2","17,234","0%","2025-01-09T09:58","13,306","34","","","",""
"8ef63fb2-aca0-424a-bf5a-78f4a61f3b8a","17,234","0%","2025-01-09T11:18","13,306","","","","",""
"6aa3cfa3-a65e-4c22-8410-d16f372ffed7","17,234","0%","2025-01-09T11:53","13,306","","","","",""
"942cb060-2ee0-47e8-83fe-96e13b9d82e9","17,234","0%","2025-01-09T12:29","13,306","","","","",""
"8e363ba8-5acb-42a8-91cd-da2a4c52981a","17,234","0%","2025-01-09T13:34","13,306","","","","",""
"dc201f6d-be59-48ab-b284-8e971c8ffb5f","17,234","0%","2025-01-09T14:20","13,306","","","","",""
"dcb282ff-c790-45f2-a00c-b348e0c5afac","17,234","0%","2025-01-09T17:37","13,306","","","","",""
"fa3b85a7-14b9-4e01-ae37-8f6ee4e5fb27","19,978","6%","2025-01-09T18:45","13,306","","","","",""
"25f0e468-5bab-42b1-a280-ae08dd5fcec9","19,978","6%","2025-01-09T20:27","13,306","","","","",""
"7f14d43d-44b8-4e13-b86f-71970f7b1915","19,978","6%","2025-01-09T20:39","13,306","","","","",""
"7d05a66a-27c0-46d2-84d3-261870f8bd0c","19,978","6%","2025-01-09T23:19","13,306","","","","",""
"d489bc47-25db-404a-a2e6-c5cc65814029","19,978","6%","2025-01-10T01:57","13,306","","","","",""
"4ddc5a13-e1e2-417d-b72d-3fa0912402c0","19,978","6%","2025-01-10T05:24","13,306","","","","",""
"9bf9fe16-bdc3-45f1-90b6-50d2b3d53067","19,978","8%","2025-01-10T07:34","13,306","","","","",""
"0a5c3dac-a9d8-46ce-b1f8-00dd8f344242","20,438","8%","2025-01-10T07:39","13,306","","","","",""
"644644fe-44c0-4e49-863e-557cc5a3ef10","19,978","8%","2025-01-10T07:49","13,306","","","","",""
"a4d73f35-df69-4b8f-abb3-571c3f1ec26c","20,438","8%","2025-01-10T07:59","13,306","","","","",""
"9842ff58-2480-4b98-8627-7a2ddb2cbd4e","20,438","8%","2025-01-10T08:00","13,306","","","","",""
"02c02084-d2e0-452e-a722-cab3e2c246db","20,438","8%","2025-01-10T08:18","13,306","","","","",""
"87fececc-b997-476d-8ec5-d15c5aaea879","20,438","8%","2025-01-10T08:33","13,306","","","","",""
"f575d0b4-3364-4d8e-9d9a-c225bff3b0a0","20,438","8%","2025-01-10T09:03","13,306","","","","",""
"db338829-c569-4773-85d9-7130491fe288","20,438","8%","2025-01-10T09:09","13,306","","","","",""
"7729fa4d-aa30-476b-9190-f5ca977199eb","20,438","8%","2025-01-10T09:20","13,306","","3","2","",""
"c9040285-0ce4-4c2d-9aa0-a01ed903f16d","20,438","8%","2025-01-10T09:36","11,471","85","3","2","12",""
"fcc87447-662c-4cdd-a35b-76de743b04fe","20,438","8%","2025-01-10T10:26","11,471","","3","2","",""
"8eb5d58b-7eaf-4614-82f2-cbfe7f618631","20,438","8%","2025-01-10T10:43","11,471","","3","2","",""
