"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Precipitation"
"2025-01-14","8:53 AM","48","18","30","NE","5","0","30.18","Fair","0.0"
"2025-01-14","9:53 AM","56","23","28","VAR","3","0","30.19","Fair","0.0"
"2025-01-14","10:53 AM","61","27","27","SW","3","0","30.19","Fair","0.0"
"2025-01-14","11:53 AM","63","28","27","W","7","0","30.18","Fair","0.0"
"2025-01-14","11:59 AM","62","28","28","W","7","0","30.18","Fair","0.0"
"2025-01-14","12:53 PM","64","29","27","W","10","0","30.14","Fair","0.0"
"2025-01-14","1:53 PM","65","28","25","W","12","0","30.10","Fair","0.0"
"2025-01-14","2:53 PM","63","29","28","W","10","0","30.07","Fair","0.0"
"2025-01-14","3:53 PM","62","36","38","W","9","0","30.06","Fair","0.0"
"2025-01-14","4:53 PM","62","27","26","W","10","0","30.06","Fair","0.0"
"2025-01-14","5:53 PM","59","37","44","W","7","0","30.06","Fair","0.0"
"2025-01-14","6:53 PM","57","38","49","W","7","0","30.06","Fair","0.0"
"2025-01-14","7:53 PM","57","39","51","SW","3","0","30.07","Fair","0.0"
"2025-01-14","8:53 PM","55","36","49","CALM","0","0","30.08","Fair","0.0"
"2025-01-14","9:53 PM","56","33","42","ESE","5","0","30.09","Fair","0.0"
"2025-01-14","10:53 PM","54","31","41","N","3","0","30.10","Fair","0.0"
"2025-01-14","11:53 PM","53","22","30","CALM","0","0","30.10","Fair","0.0"
"2025-01-15","12:53 AM","54","21","28","VAR","3","0","30.10","Fair","0.0"
"2025-01-15","1:53 AM","50","22","33","ESE","3","0","30.09","Fair","0.0"
"2025-01-15","2:53 AM","48","24","39","ESE","3","0","30.09","Fair","0.0"
"2025-01-15","3:53 AM","48","22","36","CALM","0","0","30.08","Fair","0.0"
"2025-01-15","4:53 AM","48","20","33","CALM","0","0","30.07","Fair","0.0"
"2025-01-15","5:53 AM","44","21","40","E","3","0","30.08","Fair","0.0"
"2025-01-15","6:53 AM","46","21","37","ENE","3","0","30.08","Fair","0.0"
"2025-01-15","7:53 AM","49","24","38","NE","5","0","30.08","Fair","0.0"
"2025-01-15","8:53 AM","53","21","29","ENE","5","0","30.08","Fair","0.0"
"2025-01-15","9:53 AM","57","23","27","VAR","5","0","30.09","Fair","0.0"
"2025-01-15","10:53 AM","61","27","27","E","6","0","30.09","Fair","0.0"
"2025-01-15","11:53 AM","66","32","28","SSE","7","0","30.07","Fair","0.0"
"2025-01-15","12:53 PM","71","35","27","SSW","9","0","30.05","Fair","0.0"
"2025-01-15","1:53 PM","72","36","27","SW","6","0","30.03","Fair","0.0"
"2025-01-15","2:53 PM","70","34","27","WNW","10","0","30.01","Fair","0.0"
"2025-01-15","3:53 PM","69","33","26","W","13","0","30.00","Fair","0.0"
"2025-01-15","4:53 PM","67","31","26","W","9","0","30.01","Fair","0.0"
"2025-01-15","5:53 PM","63","29","28","SW","10","0","30.03","Fair","0.0"
